Файл,Предсказание,Уверенность,Нейросети,Традиционные
rhvoice_rhvoice_emul_00231_noise_street_snr16.wav,Робот,100.0%,-,0/4
rhvoice_rhvoice_emul_00231_noise_white_snr6.wav,Робот,99.7%,-,0/4
rhvoice_rhvoice_emul_00231_phone.wav,Робот,99.6%,-,0/4
rhvoice_rhvoice_emul_00232_noise_cafe_snr17.wav,Робот,100.0%,-,0/4
rhvoice_rhvoice_emul_00232_noise_pink_snr6.wav,Робот,99.8%,-,0/4
rhvoice_rhvoice_emul_00232_noise_street_snr18.wav,Робот,100.0%,-,0/4
rhvoice_rhvoice_emul_00232_noise_white_snr19.wav,Робот,99.9%,-,0/4
rhvoice_rhvoice_emul_00232_phone.wav,Робот,99.9%,-,0/4
rhvoice_rhvoice_emul_00233_noise_cafe_snr13.wav,Робот,100.0%,-,0/4
rhvoice_rhvoice_emul_00233_noise_pink_snr14.wav,Робот,100.0%,-,0/4
rhvoice_rhvoice_emul_00233_noise_street_snr20.wav,Робот,100.0%,-,0/4
rhvoice_rhvoice_emul_00233_noise_white_snr7.wav,Робот,99.9%,-,0/4
rhvoice_rhvoice_emul_00233_phone.wav,Робот,99.9%,-,0/4
rhvoice_rhvoice_emul_00234_noise_cafe_snr18.wav,Робот,100.0%,-,0/4
rhvoice_rhvoice_emul_00234_noise_pink_snr9.wav,Робот,99.9%,-,0/4
rhvoice_rhvoice_emul_00234_noise_street_snr17.wav,Робот,100.0%,-,0/4
