timestamp,filename,prediction,confidence,model,duration,notes,final_prediction,average_confidence,human_votes,robot_votes,total_models,details
2026-03-09 22:51:45,0009ba3f7656ffcbf62fd9918043a7cb_fast.wav,Неизвестно,0.0,Ensemble (все модели),0.0,,,,,,,
2026-03-09 22:51:49,0009ba3f7656ffcbf62fd9918043a7cb_fast.wav,Неизвестно,0.0,Ensemble (все модели),0.0,,,,,,,
2026-03-09 22:52:00,ezyZip.wav,Неизвестно,0.0,Ensemble (все модели),0.0,,,,,,,
2026-03-09 22:52:08,ezyZip.wav,Неизвестно,0.0,Hybrid CNN-LSTM,0.0,,,,,,,
2026-03-09 22:52:14,ezyZip.wav,Неизвестно,0.0,Hybrid CNN-LSTM,0.0,,,,,,,
2026-03-09 22:52:18,ezyZip.wav,Неизвестно,0.0,Hybrid CNN-LSTM,0.0,,,,,,,
2026-03-09 22:55:34,0009ba3f7656ffcbf62fd9918043a7cb_fast.wav,Не найдена,0.0,XGBoost,0.0,,,,,,,
2026-03-09 22:55:44,audio0_S_fast.wav,Не найдена,0.0,XGBoost,0.0,,,,,,,
2026-03-09 22:58:15,ezyZip.wav,Ошибка,0.0,XGBoost,0.0,,,,,,,
2026-03-09 23:00:26,ezyZip.wav,Ошибка,0.0,XGBoost,0.0,,,,,,,
2026-03-09 23:03:22,ezyZip.wav,Робот,0.9513373374938964,XGBoost,0.0,,,,,,,
2026-03-09 23:03:30,ttsmaker-file-2026-3-8-16-17-15.wav,Робот,0.944092571735382,XGBoost,0.0,,,,,,,
2026-03-09 23:04:07,02.wav,Робот,0.8038410544395447,XGBoost,0.0,,,,,,,
2026-03-09 23:04:13,2.wav,Робот,0.957685112953186,XGBoost,0.0,,,,,,,
2026-03-09 23:04:20,0.wav,Робот,0.9723470211029052,XGBoost,0.0,,,,,,,
2026-03-13 16:16:09,02.wav,Человек,0.6889740187280753,Ensemble (все модели),0.0,,,,,,,
2026-03-13 16:16:19,02.wav,Робот,0.8038410544395447,XGBoost,0.0,,,,,,,
2026-03-13 16:16:38,00a5c37ffb884e4ce76ef26d5059a138.wav,Робот,0.9910166263580322,XGBoost,0.0,,,,,,,
2026-03-13 16:16:44,00a5c37ffb884e4ce76ef26d5059a138.wav,Робот,0.8048099966038544,Ensemble (все модели),0.0,,,,,,,
