Файл,Предсказание,Уверенность
audio_0_0_11_B.wav,Робот,69.0%
audio_0_0_13_B.wav,Робот,84.2%
audio_0_0_14_B.wav,Робот,70.8%
audio_0_0_16_B.wav,Робот,88.6%
audio_0_0_29_B.wav,Человек,72.4%
audio_0_0_39_B.wav,Робот,78.6%
audio_0_0_51_B.wav,Человек,66.5%
audio_0_0_53_B.wav,Робот,69.3%
audio_0_0_59_B.wav,Человек,78.9%
audio_0_0_62_B.wav,Человек,85.4%
audio_0_0_63_B.wav,Робот,75.2%
audio_0_0_64_B.wav,Робот,71.5%
audio_0_0_66_B.wav,Робот,75.4%
audio_0_0_68_B.wav,Робот,79.8%
audio_0_0_71_B.wav,Робот,73.0%
audio_0_0_72_B.wav,Робот,80.3%
audio_0_0_74_B.wav,Робот,86.7%
