Файл,Предсказание,Уверенность,Нейросети,Традиционные
root_001ce26c07c20eaa0d666b824c6c6924_noise_cafe_snr17.wav,Человек,99.9%,-,4/4
root_00a5c37ffb884e4ce76ef26d5059a138_noise_cafe_snr19.wav,Человек,98.6%,-,4/4
root_00a5c37ffb884e4ce76ef26d5059a138_noise_pink_snr16.wav,Человек,98.8%,-,4/4
root_00a5c37ffb884e4ce76ef26d5059a138_noise_street_snr17.wav,Человек,98.8%,-,4/4
root_00a5c37ffb884e4ce76ef26d5059a138_noise_white_snr16.wav,Человек,98.7%,-,4/4
root_00a5c37ffb884e4ce76ef26d5059a138_phone.wav,Человек,99.8%,-,4/4
root_00a86763f9cb3a97cea8507c8d9737ef_noise_cafe_snr14.wav,Человек,93.0%,-,4/4
root_00a86763f9cb3a97cea8507c8d9737ef_noise_pink_snr7.wav,Человек,95.1%,-,4/4
root_00a86763f9cb3a97cea8507c8d9737ef_noise_street_snr6.wav,Человек,95.4%,-,4/4
root_00a86763f9cb3a97cea8507c8d9737ef_noise_white_snr19.wav,Человек,95.9%,-,4/4
root_00a86763f9cb3a97cea8507c8d9737ef_phone.wav,Человек,95.4%,-,4/4
root_00b1dd4be8a32fc7e4ab7aaffb9666e0_noise_cafe_snr6.wav,Человек,98.6%,-,4/4
root_00b1dd4be8a32fc7e4ab7aaffb9666e0_noise_pink_snr5.wav,Человек,91.1%,-,4/4
root_00b1dd4be8a32fc7e4ab7aaffb9666e0_noise_street_snr16.wav,Человек,98.1%,-,4/4
root_00b1dd4be8a32fc7e4ab7aaffb9666e0_noise_white_snr12.wav,Человек,98.5%,-,4/4
root_00b1dd4be8a32fc7e4ab7aaffb9666e0_phone.wav,Человек,89.0%,-,4/4
