Файл,Предсказание,Уверенность
00a610f796cd5454fb881c9b56100c7e.wav,Человек,86.5%
00abe3bc45774c730c932ad35454713f.wav,Человек,66.5%
00b11a6c6bc41882cf65849dec878927.wav,Человек,78.4%
00b781a6cdaa23cf29b4936d18f7ed88.wav,Человек,91.6%
00c8c9a1532c7cd1e60d6d47e5a50857.wav,Человек,78.6%
00c88cad5f67365817429f8459eebdfd.wav,Человек,70.4%
00ca4feb0973bdd14add95aa42d96e0f.wav,Человек,77.3%
00ce853975df10c7d3d537cc9f5a8ef2.wav,Человек,79.0%
00d4e30a535d0a16055092ffdb5866f7.wav,Человек,83.1%
00d9652db8b2ff812a1cbfe41b27dcd7.wav,Человек,85.0%
00daa424c09878da0718784d37df2ad8.wav,Человек,89.0%
00db2b62dddf33f82169ffcf39b1b092.wav,Человек,70.8%
00dcca4378695bc17461110da09995a4.wav,Человек,87.4%
