Файл,Предсказание,Уверенность
00a5c37ffb884e4ce76ef26d5059a138.wav,Робот,74.1%
00a86763f9cb3a97cea8507c8d9737ef.wav,Робот,74.3%
00b1dd4be8a32fc7e4ab7aaffb9666e0.wav,Робот,73.1%
00b4dbc9944e1df6f323f76762cdcbf3.wav,Человек,74.8%
00bfd69bf8853994e1269b5a31539b84.wav,Робот,75.5%
00bfeac1e2be132b16ac73dab1c44181.wav,Человек,72.9%
00c0a3fbeecc3915842ce87151418cc3.wav,Человек,83.5%
00c1f52f7f7d1b05be6f333c9e264d79.wav,Робот,74.4%
00c39c13a10befc59629e6d275e25888.wav,Человек,74.8%
00cd6161134672384854f2b68785f52a.wav,Человек,77.5%
00dafa32e4bdecb1cd5754693b796b2b.wav,Робот,76.4%
00e3f2504eab100612c86f0a9b8dd9be.wav,Робот,76.0%
00ed568270cfba98d3265c3d646f0ecb.wav,Робот,70.1%
00ee619c6041b081cb4b9ee4fc6b22ae.wav,Человек,79.0%
