Файл,Предсказание,Уверенность,Нейросети,Традиционные,Всего голосов
268.wav,Робот,83.9%,0/0,0/1,0/4
328.wav,Робот,82.7%,0/0,0/1,1/3
358.wav,Робот,81.0%,0/0,0/1,1/3
388.wav,Робот,86.0%,0/0,0/1,1/3
418.wav,Робот,84.3%,0/0,0/1,1/3
448.wav,Робот,83.8%,0/0,0/1,1/3
478.wav,Робот,84.6%,0/0,0/1,1/3
508.wav,Робот,83.0%,0/0,0/1,1/3
538.wav,Робот,84.7%,0/0,0/1,0/4
568.wav,Робот,84.7%,0/0,0/1,0/4
598.wav,Робот,85.4%,0/0,0/1,1/3
628.wav,Робот,85.9%,0/0,0/1,0/4
google_google_co.uk_00002_noise_cafe_snr14.wav,Робот,92.1%,0/0,0/1,0/4
google_google_co.uk_00002_noise_pink_snr18.wav,Робот,74.3%,0/0,0/1,0/4
google_google_co.uk_00002_noise_street_snr7.wav,Робот,78.1%,0/0,0/1,1/3
google_google_co.uk_00002_noise_white_snr8.wav,Человек,76.7%,0/0,1/1,3/1
google_google_co.uk_00002_phone.wav,Робот,88.5%,0/0,0/1,0/4
google_google_co.uk_00005_noise_cafe_snr15.wav,Робот,90.7%,0/0,0/1,0/4
google_google_co.uk_00005_noise_pink_snr7.wav,Робот,89.5%,0/0,0/1,1/3
google_google_co.uk_00005_noise_street_snr7.wav,Робот,90.3%,0/0,0/1,1/3
google_google_co.uk_00005_noise_white_snr16.wav,Робот,94.0%,0/0,0/1,0/4
google_google_co.uk_00005_phone.wav,Робот,90.8%,0/0,0/1,0/4
google_google_co.uk_00008_noise_cafe_snr10.wav,Робот,87.9%,0/0,0/1,0/4
google_google_co.uk_00008_noise_pink_snr13.wav,Робот,91.7%,0/0,0/1,0/4
google_google_co.uk_00008_noise_street_snr8.wav,Робот,88.0%,0/0,0/1,0/4
google_google_co.uk_00008_noise_white_snr18.wav,Робот,96.9%,0/0,0/1,0/4
google_google_co.uk_00008_phone.wav,Робот,94.3%,0/0,0/1,0/4
google_google_co.uk_00011_noise_cafe_snr10.wav,Робот,77.7%,0/0,0/1,1/3
root_1228_noise_pink_snr13.wav,Робот,98.1%,0/0,0/1,0/4
root_1228_noise_street_snr5.wav,Робот,92.5%,0/0,0/1,0/4
root_1228_noise_white_snr15.wav,Робот,99.4%,0/0,0/1,0/4
root_1228_phone.wav,Робот,90.9%,0/0,0/1,0/4
root_1258_noise_cafe_snr11.wav,Робот,81.5%,0/0,0/1,1/3
root_1258_noise_pink_snr18.wav,Робот,95.8%,0/0,0/1,0/4
root_1258_noise_street_snr18.wav,Робот,94.8%,0/0,0/1,0/4
root_1258_noise_white_snr15.wav,Робот,92.3%,0/0,0/1,0/4
root_1258_phone.wav,Робот,93.5%,0/0,0/1,0/4
root_1288_noise_cafe_snr12.wav,Робот,99.4%,0/0,0/1,0/4
root_1288_noise_pink_snr16.wav,Робот,98.5%,0/0,0/1,0/4
root_1288_noise_street_snr16.wav,Робот,99.8%,0/0,0/1,0/4
root_1288_noise_white_snr19.wav,Робот,99.2%,0/0,0/1,0/4
root_1288_phone.wav,Робот,98.6%,0/0,0/1,0/4
root_1318_noise_cafe_snr7.wav,Робот,95.2%,0/0,0/1,0/4
root_1318_noise_pink_snr5.wav,Робот,95.1%,0/0,0/1,0/4
root_1318_noise_street_snr10.wav,Робот,97.6%,0/0,0/1,0/4
