Файл,Предсказание,Уверенность
root_audio0_S_noise_cafe_snr19.wav,Робот,85.6%
root_audio0_S_noise_pink_snr14.wav,Робот,82.0%
root_audio0_S_noise_street_snr17.wav,Робот,85.6%
root_audio0_S_noise_white_snr9.wav,Робот,85.7%
root_audio0_S_phone.wav,Робот,82.6%
root_audio1000_S_noise_cafe_snr10.wav,Робот,83.3%
root_audio1000_S_noise_pink_snr10.wav,Робот,72.3%
root_audio1000_S_noise_street_snr13.wav,Робот,81.2%
root_audio1000_S_noise_white_snr14.wav,Робот,82.1%
root_audio1000_S_phone.wav,Робот,71.7%
root_audio1001_S_noise_cafe_snr5.wav,Робот,87.5%
root_audio1001_S_noise_pink_snr8.wav,Робот,86.8%
root_audio1001_S_noise_street_snr7.wav,Робот,89.8%
root_audio1001_S_noise_white_snr12.wav,Робот,91.7%
