Файл,Предсказание,Уверенность
00a610f796cd5454fb881c9b56100c7e.wav,Человек,89.4%
00abe3bc45774c730c932ad35454713f.wav,Человек,89.4%
00b11a6c6bc41882cf65849dec878927.wav,Человек,89.4%
00b781a6cdaa23cf29b4936d18f7ed88.wav,Человек,89.4%
00c8c9a1532c7cd1e60d6d47e5a50857.wav,Человек,89.4%
00c88cad5f67365817429f8459eebdfd.wav,Человек,87.9%
00ca4feb0973bdd14add95aa42d96e0f.wav,Робот,61.3%
00ce853975df10c7d3d537cc9f5a8ef2.wav,Человек,89.4%
00d4e30a535d0a16055092ffdb5866f7.wav,Человек,89.4%
00d9652db8b2ff812a1cbfe41b27dcd7.wav,Человек,89.4%
00daa424c09878da0718784d37df2ad8.wav,Человек,89.4%
00db2b62dddf33f82169ffcf39b1b092.wav,Человек,89.4%
00dcca4378695bc17461110da09995a4.wav,Человек,89.4%
00de775422c62a100f452fd3d591a039.wav,Человек,89.4%
00eab0dddcc0bc03578cdec992a77d7c.wav,Человек,89.4%
00ebcd98b4eca04cf6af9690028193da.wav,Человек,89.4%
00f672af4ace52ab180c051b9a1021ad.wav,Робот,83.1%
